group,model_tag,file,filename,layer,k,autointerp_score,autointerp_std_dev,latent_score_mean,latent_score_sum,n_latents,is_ckpt,score_source
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer10_l0_160.json,dream_7b_layer10_l0_160.json,10,160,0.7678571428571429,0.23087566226991407,0.767857142857143,76.7857142857143,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer10_l0_320.json,dream_7b_layer10_l0_320.json,10,320,0.7735714285714286,0.21477444267065343,0.7735714285714286,77.35714285714286,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer10_l0_50.json,dream_7b_layer10_l0_50.json,10,50,0.812857142857143,0.2191774977277642,0.8128571428571427,81.28571428571428,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer10_l0_520.json,dream_7b_layer10_l0_520.json,10,520,0.7207142857142856,0.24745541754722078,0.7207142857142859,72.07142857142858,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer10_l0_80.json,dream_7b_layer10_l0_80.json,10,80,0.7942857142857143,0.20058078936235268,0.7942857142857146,79.42857142857146,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer10_l0_820.json,dream_7b_layer10_l0_820.json,10,820,0.7114285714285714,0.255135018276638,0.7114285714285714,71.14285714285714,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer14_l0_160.json,dream_7b_layer14_l0_160.json,14,160,0.6942857142857143,0.2618770548114796,0.6942857142857144,69.42857142857144,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer14_l0_320.json,dream_7b_layer14_l0_320.json,14,320,0.6478571428571429,0.2624948979096002,0.6478571428571429,64.78571428571429,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer14_l0_50.json.ckpt.json,dream_7b_layer14_l0_50.json.ckpt.json,14,50,,,0.6207311207311207,61.45238095238095,99,True,latents
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer14_l0_520.json,dream_7b_layer14_l0_520.json,14,520,0.7092857142857143,0.23630985366415747,0.7092857142857144,70.92857142857144,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer14_l0_80.json,dream_7b_layer14_l0_80.json,14,80,0.7257142857142856,0.24943200783101643,0.7257142857142855,72.57142857142856,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer14_l0_820.json,dream_7b_layer14_l0_820.json,14,820,0.6584523809523809,0.26321477030387647,0.658452380952381,65.8452380952381,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer1_l0_160.json.ckpt.json,dream_7b_layer1_l0_160.json.ckpt.json,1,160,,,0.8238335738335738,81.55952380952381,99,True,latents
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer1_l0_320.json,dream_7b_layer1_l0_320.json,1,320,0.7935714285714286,0.23944983710538606,0.7935714285714286,79.35714285714286,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer1_l0_50.json,dream_7b_layer1_l0_50.json,1,50,0.8207142857142857,0.20541024158239718,0.8207142857142858,82.07142857142858,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer1_l0_520.json.ckpt.json,dream_7b_layer1_l0_520.json.ckpt.json,1,520,,,0.8187830687830688,81.05952380952381,99,True,latents
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer1_l0_80.json,dream_7b_layer1_l0_80.json,1,80,0.782142857142857,0.22976807294952617,0.7821428571428574,78.21428571428574,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer1_l0_820.json,dream_7b_layer1_l0_820.json,1,820,0.7521428571428571,0.26830058531735007,0.7521428571428572,75.21428571428572,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer23_l0_160.json.ckpt.json,dream_7b_layer23_l0_160.json.ckpt.json,23,160,,,0.7698412698412699,76.21428571428572,99,True,latents
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer23_l0_320.json,dream_7b_layer23_l0_320.json,23,320,0.6809523809523809,0.2860712056357255,0.6809523809523809,68.09523809523809,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer23_l0_50.json,dream_7b_layer23_l0_50.json,23,50,0.687857142857143,0.2920118462791312,0.687857142857143,68.78571428571429,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer23_l0_520.json,dream_7b_layer23_l0_520.json,23,520,0.6864285714285714,0.27272154446674457,0.6864285714285715,68.64285714285715,100,False,per_latent_results
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer23_l0_80.json.ckpt.json,dream_7b_layer23_l0_80.json.ckpt.json,23,80,,,0.7079587079587079,70.08791208791207,99,True,latents
mask,dream_7b,/home/dslabra5/sae4dlm/autointerp_hf/dream_mask_sae_interp_results/dream_7b_layer23_l0_820.json,dream_7b_layer23_l0_820.json,23,820,0.6730219780219779,0.2717525927791012,0.673021978021978,67.30219780219781,100,False,per_latent_results
